date,open,close,high,low,volume,amount,symbol
20130924,298.06,296.99,298.06,295.6,21519000,2560906000.0,000832.SH
20130925,297.07,296.63,297.52,296.48,17188400,1998126480.0,000832.SH
20130926,296.63,293.99,296.71,293.9,26935200,3070871984.0,000832.SH
20130927,294.02,293.38,294.2,292.86,24426600,2676263296.0,000832.SH
20130930,293.66,293.24,293.89,292.69,10751700,1183692448.0,000832.SH
20131008,293.35,295.19,295.77,293.14,17878300,2094721792.0,000832.SH
20131009,295.15,296.45,296.57,295.04,15909900,1739565552.0,000832.SH
20131010,296.9,295.42,297.14,295.04,17333700,1965529232.0,000832.SH
20131011,295.82,296.43,296.74,295.69,17974400,1965062848.0,000832.SH
20131014,296.53,296.21,296.59,295.91,12589900,1414066304.0,000832.SH
20131015,296.21,295.53,296.28,295.15,10165100,1095456848.0,000832.SH
20131016,295.52,294.73,295.52,294.08,10397700,1113815168.0,000832.SH
20131017,294.99,293.82,295.59,293.66,11502000,1220384320.0,000832.SH
20131018,293.82,293.94,294.48,293.7,8675700,939668960.0,000832.SH
20131021,294.12,295.18,295.2,293.64,10542300,1142661168.0,000832.SH
20131022,295.14,294.31,295.14,294.29,7288900,796949536.0,000832.SH
20131023,294.45,293.91,295.61,293.57,10980000,1184881600.0,000832.SH
20131024,293.92,292.78,293.92,292.59,8272400,871964688.0,000832.SH
20131025,292.85,291.03,293.02,290.32,16758600,1758504624.0,000832.SH
20131028,291.14,290.02,291.14,289.69,12608600,1323936128.0,000832.SH
20131029,290.04,289.92,292.02,288.54,18240200,1937726000.0,000832.SH
20131030,290.02,292.18,292.23,290.01,20103800,2176477408.0,000832.SH
20131031,291.97,291.52,291.97,290.74,13230000,1399176320.0,000832.SH
20131101,291.52,292.48,292.55,291.18,11476600,1209911040.0,000832.SH
20131104,292.68,292.34,293.24,292.18,7206600,762343872.0,000832.SH
20131105,292.29,292.02,292.32,291.16,11614600,1203715376.0,000832.SH
20131106,292.06,291.13,292.08,291.06,17497400,1798875376.0,000832.SH
20131107,291.13,290.84,291.42,290.49,10619000,1101559072.0,000832.SH
20131108,290.74,289.64,290.87,289.56,12293600,1275696736.0,000832.SH
20131111,289.85,289.5,289.94,289.07,13371300,1371790976.0,000832.SH
20131112,289.66,290.11,290.58,289.66,9328400,968601536.0,000832.SH
20131113,290.41,286.87,290.44,285.9,12490900,1303858224.0,000832.SH
20131114,286.87,287.03,287.36,286.22,12693400,1348257472.0,000832.SH
20131115,287.11,286.46,288.69,286.22,20738700,2187049856.0,000832.SH
20131118,286.96,290.22,290.27,286.96,27026600,2820786752.0,000832.SH
20131119,290.32,289.39,290.89,289.24,20617700,2128291776.0,000832.SH
20131120,289.71,289.36,290.08,288.73,17659300,2021995056.0,000832.SH
20131121,289.5,288.74,289.5,287.62,21628400,2404236896.0,000832.SH
20131122,288.86,289.12,289.84,288.64,18187400,2017274400.0,000832.SH
20131125,288.94,287.12,288.96,287.02,20361900,2160264192.0,000832.SH
20131126,287.11,285.94,287.5,285.81,13111900,1377828352.0,000832.SH
20131127,286.03,286.84,287.13,285.8,14198500,1557850912.0,000832.SH
20131128,286.89,287.61,288.56,286.75,15650000,1653416304.0,000832.SH
20131129,287.74,287.58,288.34,287.45,13772900,1541520944.0,000832.SH
20131202,287.46,287.79,288.68,286.47,25223800,2620861440.0,000832.SH
20131203,287.82,289.1,289.37,287.53,15792000,1672457872.0,000832.SH
20131204,289.18,290.57,291.32,288.81,22713400,2382324768.0,000832.SH
20131205,290.6,289.95,290.79,289.7,10357100,1080261824.0,000832.SH
20131206,290.01,289.0,290.2,288.67,12549900,1326590032.0,000832.SH
20131209,288.95,287.96,289.19,287.7,12305600,1278981664.0,000832.SH
20131210,288.01,287.94,288.42,287.71,8432900,875025616.0,000832.SH
20131211,287.96,285.88,287.96,285.5,13597400,1388032400.0,000832.SH
20131212,285.86,285.46,286.12,285.37,10353200,1073233424.0,000832.SH
20131213,285.42,285.2,285.96,284.94,11959400,1220035616.0,000832.SH
20131216,285.17,283.51,285.3,283.29,11171800,1137480800.0,000832.SH
20131217,283.57,282.43,283.87,282.29,11570500,1180739584.0,000832.SH
20131218,282.4,281.51,282.66,281.25,8195100,845180912.0,000832.SH
20131219,281.7,278.37,282.02,278.17,21343100,2165407696.0,000832.SH
20131220,278.49,277.35,278.9,276.18,21810500,2175845536.0,000832.SH
20131223,277.61,277.15,277.66,276.77,10032700,1005267328.0,000832.SH
20131224,277.2,277.54,278.13,277.17,13926800,1380175872.0,000832.SH
20131225,277.58,279.1,279.29,277.56,8839000,886955456.0,000832.SH
20131226,279.1,278.18,279.19,277.85,8847800,896649648.0,000832.SH
20131227,278.33,278.65,278.87,278.31,12430700,1296782960.0,000832.SH
20131230,278.86,278.12,279.05,277.44,12055300,1212965904.0,000832.SH
20131231,278.1,278.5,278.52,277.67,14282200,1432258288.0,000832.SH
20140102,278.01,278.93,279.33,277.15,14202800,1435349216.0,000832.SH
20140103,278.44,277.76,278.58,277.72,14606600,1478629872.0,000832.SH
20140106,277.57,275.32,277.6,274.22,20108700,2014229808.0,000832.SH
20140107,275.17,275.23,275.45,274.21,9163000,919031936.0,000832.SH
20140108,275.41,274.87,275.84,274.61,16053900,1604200016.0,000832.SH
20140109,274.91,274.29,275.59,274.19,19286300,1931241408.0,000832.SH
20140110,274.22,272.62,274.41,272.52,13618800,1355520096.0,000832.SH
20140113,272.91,271.68,273.35,271.19,19065000,1871112416.0,000832.SH
20140114,271.72,272.2,272.25,271.08,14928100,1477576768.0,000832.SH
20140115,272.28,271.79,272.38,271.43,13755300,1345574320.0,000832.SH
20140116,271.83,272.64,273.44,271.83,18817200,1882559168.0,000832.SH
20140117,272.62,271.26,272.69,271.22,16918200,1659856288.0,000832.SH
20140120,271.4,268.58,271.64,268.1,17466400,1703393664.0,000832.SH
20140121,268.76,270.32,270.51,268.64,17614200,1719750864.0,000832.SH
20140122,270.36,273.74,274.04,270.32,24340600,2429965008.0,000832.SH
20140123,273.64,273.6,274.35,273.33,16695200,1689622608.0,000832.SH
20140124,273.38,274.28,274.78,273.08,14331100,1465056608.0,000832.SH
20140127,273.62,272.89,273.62,272.27,13644600,1401477872.0,000832.SH
20140128,272.97,273.84,274.15,272.88,12392000,1264641040.0,000832.SH
20140129,273.87,275.7,275.74,273.87,11297700,1137959328.0,000832.SH
20140130,275.7,275.36,275.7,274.94,4418900,517263904.0,000832.SH
20140207,275.08,274.69,275.08,273.99,6639300,691832928.0,000832.SH
20140210,275.0,277.3,277.45,274.99,20462100,2099949552.0,000832.SH
20140211,277.3,277.92,278.75,276.74,19471500,1977664288.0,000832.SH
20140212,278.02,278.3,278.57,277.37,15987000,1684225840.0,000832.SH
20140213,278.32,278.45,279.08,277.56,19974700,1995958576.0,000832.SH
20140214,278.45,279.22,279.25,278.36,12026300,1222833888.0,000832.SH
20140217,279.74,279.93,280.05,279.07,27617200,2800274208.0,000832.SH
20140218,279.99,278.28,280.04,278.16,16240100,1651658896.0,000832.SH
20140219,278.29,278.62,279.27,277.15,22755500,2274976896.0,000832.SH
20140220,279.61,282.14,283.74,279.61,47633300,4920557312.0,000832.SH
20140221,281.57,280.63,281.57,279.51,30985500,3208818464.0,000832.SH
20140224,280.39,277.59,280.39,276.37,25000300,2493218192.0,000832.SH
20140225,277.67,276.94,278.93,276.59,22837100,2290595936.0,000832.SH
20140226,277.16,277.25,277.48,276.35,24596300,2457955792.0,000832.SH
20140227,277.7,279.54,281.26,277.7,48950900,5021865984.0,000832.SH
20140228,275.82,276.94,277.13,275.02,48807000,4612997888.0,000832.SH
20140303,277.19,277.36,278.01,276.83,34612700,3469991472.0,000832.SH
20140304,277.24,277.12,277.71,276.28,18724900,1860986400.0,000832.SH
20140305,277.2,275.51,277.57,275.46,16440000,1621094736.0,000832.SH
20140306,275.41,276.37,276.92,274.81,17635000,1749142224.0,000832.SH
20140307,276.67,277.38,278.43,276.65,20901700,2117803616.0,000832.SH
20140310,277.11,275.16,277.12,275.07,18111900,1798574944.0,000832.SH
20140311,275.15,275.22,275.89,274.81,13900500,1377698928.0,000832.SH
20140312,275.04,274.46,275.63,274.11,15694500,1545210224.0,000832.SH
20140313,274.66,275.49,276.14,274.66,15512800,1520332752.0,000832.SH
20140314,275.51,275.67,276.66,275.23,11260500,1107143904.0,000832.SH
20140317,276.56,275.76,276.68,275.55,14759300,1484482272.0,000832.SH
20140318,275.86,275.81,276.11,275.49,11404700,1137464256.0,000832.SH
20140319,275.85,274.44,275.87,274.22,14126600,1384675296.0,000832.SH
20140320,274.42,274.39,275.11,274.26,10507400,1042618256.0,000832.SH
20140321,274.37,276.1,276.21,274.09,21140200,2067255728.0,000832.SH
20140324,276.39,276.25,276.43,275.65,16187300,1593167264.0,000832.SH
20140325,276.51,275.92,276.57,275.57,11454400,1144448944.0,000832.SH
20140326,275.97,275.8,276.18,275.4,10164700,986318464.0,000832.SH
20140327,275.88,275.81,276.35,275.21,16425100,1595174784.0,000832.SH
20140328,275.97,275.67,276.25,275.44,14518200,1386624560.0,000832.SH
20140331,275.65,275.22,275.83,274.84,11487600,1128454160.0,000832.SH
20140401,275.25,276.09,276.44,274.98,12249100,1229087440.0,000832.SH
20140402,276.12,276.56,276.75,276.06,12507800,1256005056.0,000832.SH
20140403,276.58,276.83,277.61,276.58,19085500,1933708112.0,000832.SH
20140404,276.83,277.72,277.82,276.51,12331800,1217378544.0,000832.SH
20140408,277.71,280.44,280.92,277.46,23304800,2319904224.0,000832.SH
20140409,280.65,281.03,281.47,280.46,15192700,1537554304.0,000832.SH
20140410,281.2,283.61,284.59,280.85,35068800,3638167984.0,000832.SH
20140411,283.92,282.85,284.37,282.02,21232600,2167665136.0,000832.SH
20140414,282.98,283.12,283.43,281.89,12636200,1286846832.0,000832.SH
20140415,283.03,281.81,283.03,281.4,12282900,1246846832.0,000832.SH
20140416,281.78,281.34,282.12,281.14,9564100,947659760.0,000832.SH
